INFO 5001,Master of Science In Information Systems, Application Modeling and Design,None,4,=
INFO 5002,Master of Science In Information Systems, Introduction to Python for Information Systems,None,5,
INFO 5100,Master of Science In Information Systems, Application Engineering and Development,None,3,
INFO 5101,Master of Science In Information Systems, Lab for INFO 5100,None,3,
INFO 6105,Master of Science In Information Systems, Data Science Engineering Methods and Tools,None,4,
INFO 6106,Master of Science In Information Systems, Neural Modeling Methods and Tools,None,3,
INFO 6150,Master of Science In Information Systems, Web Design and User Experience Engineering,User Experience,4,
INFO 6205,Master of Science In Information Systems, Program Structure and Algorithms,None,4,
INFO 6215,Master of Science In Information Systems, Business Analysis and Information Engineering,None,5,
INFO 6245,Master of Science In Information Systems, Planning and Managing Information Systems Development,User Experience,5,
INFO 6250,Master of Science In Information Systems, Web Development Tools and Methods,None,4,
INFO 6251,Master of Science In Information Systems, Lab for INFO 6250,None,3,
INFO 6255,Master of Science In Information Systems, Software Quality Control and Management,None,4,
INFO 6350,Master of Science In Information Systems, Smartphones-Based Web Development,User Experience,4,
INFO 6660,Master of Science In Information Systems, Business Ethics and Intellectual Property for Engineers,None,5,
INFO 6962,Master of Science In Information Systems, Elective,None,2,
INFO 7110,Master of Science In Information Systems, High-Performance Coding for Fintech,None,3,
INFO 7205,Master of Science In Information Systems, Advanced Application Engineering Project,None,2,
INFO 7225,Master of Science In Information Systems, Accounting and Budgetary Systems for Engineers,None,4,
INFO 7245,Master of Science In Information Systems, Agile Software Development,None,5,
INFO 7250,Master of Science In Information Systems, Engineering of Big-Data Systems,Big Data Systems,4,
INFO 7255,Master of Science In Information Systems, Advanced Big-Data Applications and Indexing Techniques,None,3,
INFO 7260,Master of Science In Information Systems, Business Process Engineering,None,3,
INFO 7285,Master of Science In Information Systems, Organizational Change and IT,None,5,
INFO 7300,Master of Science In Information Systems, Engineering Cybersecure Software Systems,None,3,
INFO 7330,Master of Science In Information Systems, Information Systems for Healthcare-Services Delivery,None,4,
INFO 7374,Master of Science In Information Systems, Special Topics in Information Systems,None,3,
INFO 7375,Master of Science In Information Systems, Special Topics in Artificial Intelligence Engineering and Applications,Intelligent Systems,5,
INFO 7385,Master of Science In Information Systems, Managerial Communications for Engineers,None,3,
INFO 7390,Master of Science In Information Systems, Advances in Data Sciences and Architecture,Big Data Systems,4,
INFO 7405,Master of Science In Information Systems, Advances in Engineering Medical Information Systems,None,5,
INFO 7420,Master of Science In Information Systems, Drug Development Processes and Information Systems Compliance,None,4,
INFO 7500,Master of Science In Information Systems, Cryptocurrency and Smart Contract Engineering,Smart Contracts,3,
INFO 7510,Master of Science In Information Systems, Smart Contract Application Engineering and Development,Smart Contracts,5,
INFO 7520,Master of Science In Information Systems, Engineering of Advanced Cryptocurrency Systems,Smart Contracts,2,
INFO 7525,Master of Science In Information Systems, Regulatory Aspects of Smart Contract Automation,Smart Contracts,3,
INFO 7535,Master of Science In Information Systems, Digital Smart Contracts Product Innovations,Smart Contracts,4,
INFO 7610,Master of Science In Information Systems, Special Topics in Natural Language Engineering Methods and Tools,Intelligent Systems,4,
INFO 7962,Master of Science In Information Systems, Elective,None,3,
